,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,P_ID,Group_ID,Deck,Cabin_No,Side
13,Earth,False,TRAPPIST-1e,48.0,0.0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,0.0,0010,01,G,1,S
14,Earth,False,TRAPPIST-1e,28.0,0.0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,1.0,0011,01,F,2,P
15,Earth,False,TRAPPIST-1e,31.0,0.0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,0.0,0012,01,,,
16,Mars,False,55 Cancri e,27.0,0.0,1286.0,122.0,162.0,0.0,0.0,Flats Eccle,0.0,0014,01,F,3,P
17,Earth,False,55 Cancri e,24.0,0.0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,0.0,0015,01,F,4,P
18,Mars,True,TRAPPIST-1e,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Alus Upead,1.0,0016,01,F,5,P
19,Earth,False,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,1.0,0017,01,G,0,P
20,Earth,False,55 Cancri e,14.0,0.0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,0.0,0017,02,F,6,P
21,Earth,True,TRAPPIST-1e,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,0.0,0020,01,E,0,S
22,Earth,True,55 Cancri e,49.0,0.0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,0.0,0020,02,E,0,S
23,Earth,True,55 Cancri e,29.0,0.0,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,0.0,0020,03,E,0,S
24,Earth,False,TRAPPIST-1e,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,1.0,0020,04,E,0,S
25,Earth,True,PSO J318.5-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,0.0,0020,05,E,0,S
26,Earth,False,TRAPPIST-1e,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,0.0,0020,06,E,0,S
27,Mars,False,TRAPPIST-1e,21.0,0.0,980.0,2.0,69.0,0.0,0.0,,0.0,0022,01,D,0,P
28,Europa,True,TRAPPIST-1e,62.0,0.0,0.0,0.0,0.0,0.0,0.0,Penton Fullided,1.0,0024,01,C,2,S
29,Earth,False,TRAPPIST-1e,15.0,0.0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,0.0,0025,01,F,6,S
30,Europa,False,55 Cancri e,34.0,0.0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,0.0,0026,01,C,0,P
31,Mars,False,TRAPPIST-1e,43.0,0.0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,0.0,0028,01,F,8,P
32,Earth,False,TRAPPIST-1e,32.0,0.0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,0.0,0030,01,G,4,S
33,Mars,False,TRAPPIST-1e,47.0,0.0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,1.0,0031,01,F,9,P
34,Mars,False,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,1.0,0031,02,F,9,P
35,Mars,False,TRAPPIST-1e,20.0,0.0,646.3333333333334,0.0,1750.0,990.0,0.0,Dontch Datie,1.0,0031,03,F,9,P
36,Europa,True,55 Cancri e,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,1.0,0034,01,D,1,S
37,Mars,False,55 Cancri e,23.0,0.0,784.0,964.0,0.0,951.0,0.0,Luse Butte,0.0,0035,01,D,1,P
38,Earth,False,55 Cancri e,15.0,0.0,0.0,492.0,48.0,20.0,401.0,Marina Leodger,0.0,0036,01,F,8,S
39,Earth,False,55 Cancri e,20.0,0.0,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,0.0,0038,01,F,10,S
40,Earth,True,55 Cancri e,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,0.0,0039,01,G,1,P
41,Earth,True,TRAPPIST-1e,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,1.0,0041,01,G,2,P
42,Europa,False,TRAPPIST-1e,45.0,0.0,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,0.0,0043,01,B,3,P
43,Earth,True,TRAPPIST-1e,55.0,0.0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,0.0,0044,01,G,3,P
44,Earth,True,55 Cancri e,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,1.0,0044,02,G,3,P
45,Earth,True,PSO J318.5-22,21.0,0.0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,1.0,0044,03,G,3,P
46,Mars,False,TRAPPIST-1e,21.0,0.0,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,0.0,0045,01,F,10,P
47,Mars,True,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,1.0,0045,02,F,10,P
48,Earth,False,55 Cancri e,35.0,0.0,790.0,0.0,0.0,0.0,0.0,Sony Lancis,0.0,0050,01,E,1,S
49,Earth,False,TRAPPIST-1e,56.0,0.0,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,0.0,0051,01,E,2,S
50,Earth,False,TRAPPIST-1e,33.333333333333336,0.0,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,0.0,0052,01,G,6,S
51,Earth,False,TRAPPIST-1e,25.0,0.0,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,1.0,0053,01,F,11,S
52,Europa,False,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,1.0,0056,01,A,1,S
53,Europa,True,TRAPPIST-1e,38.0,0.0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,1.0,0056,02,A,1,S
54,Europa,False,TRAPPIST-1e,27.0,0.0,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,1.0,0056,03,A,1,S
55,Earth,True,PSO J318.5-22,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,0.0,0058,01,G,7,S
56,Earth,False,TRAPPIST-1e,22.0,0.0,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,0.0,0061,01,F,12,S
57,Earth,False,TRAPPIST-1e,62.0,0.0,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,0.0,0062,01,F,13,S
58,Mars,True,TRAPPIST-1e,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0064,01,F,14,S
59,,True,TRAPPIST-1e,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Colatz Keen,1.0,0064,02,E,3,S
60,Earth,False,TRAPPIST-1e,62.0,0.0,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,0.0,0066,01,G,6,P
61,Earth,True,PSO J318.5-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,1.0,0067,01,G,10,S
62,Earth,False,TRAPPIST-1e,18.0,0.0,1.0,258.0,446.0,0.0,0.0,Celine Leeves,1.0,0067,02,G,10,S
63,Earth,False,55 Cancri e,21.0,0.0,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,0.0,0067,03,F,15,S
64,Mars,False,TRAPPIST-1e,26.666666666666668,0.0,793.0,0.0,2.0,253.0,0.0,Cinst Binie,0.0,0068,01,E,4,S
65,Earth,False,TRAPPIST-1e,42.0,0.0,887.0,0.0,9.0,6.0,0.0,,1.0,0069,01,F,16,S
66,Earth,False,TRAPPIST-1e,19.0,0.0,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,0.0,0070,01,F,13,P
67,Earth,False,TRAPPIST-1e,17.0,0.0,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,0.0,0071,01,F,14,P
68,Earth,False,TRAPPIST-1e,14.0,0.0,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,0.0,0072,01,F,17,S
69,Mars,False,PSO J318.5-22,37.0,0.0,46.0,83.0,738.0,0.0,12.0,Gorn Make,0.0,0073,01,D,3,P
70,Europa,False,TRAPPIST-1e,42.0,0.0,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,1.0,0074,01,C,3,S
71,Mars,False,TRAPPIST-1e,27.0,0.0,147.0,0.0,1018.0,0.0,0.0,Conk Dal,1.0,0076,01,F,18,S
72,Mars,False,TRAPPIST-1e,28.0,0.0,14.0,0.0,1295.0,0.0,0.0,Pon Blité,1.0,0077,01,F,15,P
73,Europa,False,TRAPPIST-1e,38.0,0.0,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,0.0,0078,01,C,4,S
74,Earth,True,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,0.0,0081,01,G,13,S
75,Mars,False,TRAPPIST-1e,42.0,0.0,7406.0,0.0,0.0,0.0,0.0,Totse Datte,0.0,0082,01,F,16,P
76,Mars,True,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,1.0,0082,02,F,16,P
77,Mars,False,TRAPPIST-1e,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0082,03,F,16,P
78,Earth,False,TRAPPIST-1e,24.0,0.0,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,1.0,0084,01,G,14,S
79,Europa,True,TRAPPIST-1e,40.0,0.0,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,1.0,0085,01,C,5,S
80,Earth,False,TRAPPIST-1e,43.0,0.0,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,0.0,0086,01,F,17,P
81,Mars,True,PSO J318.5-22,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,1.0,0088,01,E,5,S
82,Earth,True,TRAPPIST-1e,35.0,0.0,0.0,0.0,0.0,0.0,0.0,Heremy Santry,1.0,0090,01,G,15,S
83,Earth,True,TRAPPIST-1e,26.0,0.0,0.0,0.0,0.0,0.0,0.0,Deanne Yorkland,1.0,0091,01,G,16,S
84,Earth,False,TRAPPIST-1e,27.0,0.0,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,0.0,0091,02,F,20,S
85,Earth,False,TRAPPIST-1e,19.0,0.0,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,0.0,0092,01,G,9,P
86,Earth,True,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stald Hewson,1.0,0092,02,G,9,P
87,Earth,True,TRAPPIST-1e,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,1.0,0092,03,G,9,P
88,Europa,False,TRAPPIST-1e,54.0,0.0,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,0.0,0097,01,A,2,S
89,Earth,False,TRAPPIST-1e,26.0,0.0,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,0.0,0098,01,G,11,P
90,Earth,False,TRAPPIST-1e,26.0,0.0,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,1.0,0098,02,G,11,P
91,Earth,False,PSO J318.5-22,23.0,0.0,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,0.0,0099,01,F,19,P
92,Earth,,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,1.0,0099,02,G,12,P
93,Mars,True,TRAPPIST-1e,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Book Trad,1.0,0101,01,,,
94,Earth,False,TRAPPIST-1e,18.0,0.0,0.0,0.0,0.0,830.0,91.0,Ritany Holson,0.0,0102,01,F,23,S
95,Earth,False,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,0.0,17.0,Arlen Mclainez,1.0,0103,01,F,24,S
96,Earth,True,55 Cancri e,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,1.0,0103,02,G,18,S
97,Earth,True,TRAPPIST-1e,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,0.0,0103,03,G,18,S
98,Earth,,TRAPPIST-1e,27.0,0.0,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,0.0,0105,01,F,21,P
99,Mars,False,TRAPPIST-1e,21.0,0.0,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,0.0,0107,01,D,2,S
100,Earth,True,TRAPPIST-1e,23.0,0.0,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,0.0,0108,01,G,19,S
101,Earth,False,TRAPPIST-1e,31.0,0.0,562.0,0.0,326.0,0.0,0.0,,0.0,0108,02,G,19,S
102,Earth,False,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,1.0,0108,03,G,19,S
103,Europa,False,TRAPPIST-1e,32.0,0.0,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,0.0,0110,01,,,
104,Europa,,TRAPPIST-1e,40.0,0.0,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,0.0,0110,02,B,5,P
105,Europa,False,TRAPPIST-1e,42.0,0.0,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,1.0,0110,03,B,5,P
106,Europa,True,TRAPPIST-1e,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,1.0,0110,04,B,5,P
107,Europa,True,TRAPPIST-1e,29.0,0.0,0.0,0.0,0.0,0.0,0.0,Aldera Supred,1.0,0111,01,E,6,S
108,Europa,False,55 Cancri e,48.0,1.0,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,1.0,0112,01,B,1,S
109,Earth,False,TRAPPIST-1e,64.0,0.0,0.0,0.0,804.0,0.0,0.0,Idary Carvis,1.0,0113,01,F,23,P
110,Earth,False,TRAPPIST-1e,27.0,0.0,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,0.0,0114,01,G,20,S
111,Mars,,TRAPPIST-1e,26.0,0.0,0.0,0.0,0.0,0.0,0.0,Rohs Pead,1.0,0115,01,F,24,P
112,Europa,False,TRAPPIST-1e,33.0,0.0,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,1.0,0116,01,D,4,P
113,,False,TRAPPIST-1e,39.0,0.0,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,0.0,0119,01,A,0,P
114,Europa,True,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,1.0,0119,02,A,0,P
115,Mars,True,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,Bees Sacre,1.0,0120,01,F,25,P
116,Earth,False,TRAPPIST-1e,29.0,0.0,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,0.0,0122,01,G,21,S
117,Earth,False,TRAPPIST-1e,18.0,0.0,55.0,597.0,49.0,0.0,1.0,Iree Fielson,0.0,0123,01,F,27,P
118,Mars,True,TRAPPIST-1e,67.0,0.0,0.0,0.0,0.0,0.0,0.0,Milly Mish,1.0,0126,01,F,27,S
119,Mars,False,TRAPPIST-1e,35.0,0.0,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,0.0,0127,01,E,7,S
120,Mars,False,TRAPPIST-1e,61.0,1.0,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,0.0,0128,01,D,3,S
121,Mars,False,TRAPPIST-1e,45.0,0.0,2103.0,6.0,0.0,0.0,0.0,Barave Fles,0.0,0128,02,E,8,S
122,Earth,True,PSO J318.5-22,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Race Fowles,1.0,0129,01,G,22,S
123,Mars,True,TRAPPIST-1e,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Flynx Blie,1.0,0133,01,F,29,S
124,Mars,False,TRAPPIST-1e,36.0,0.0,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,0.0,0133,02,D,5,S
125,Earth,False,TRAPPIST-1e,19.0,0.0,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,1.0,0134,01,G,17,P
126,Earth,False,PSO J318.5-22,47.0,0.0,97.0,418.0,126.0,25.0,55.0,,0.0,0136,01,G,23,S
127,Earth,True,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,1.0,0138,01,G,18,P
128,Earth,False,,34.0,0.0,0.0,22.0,0.0,564.0,207.0,Monah Gambs,0.0,0138,02,E,5,P
129,Europa,True,55 Cancri e,35.0,0.0,0.0,0.0,0.0,0.0,0.0,Charda Myling,1.0,0139,01,C,6,S
130,Earth,True,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,1.0,0140,01,G,19,P
131,Earth,False,TRAPPIST-1e,26.0,0.0,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,0.0,0140,02,F,29,P
132,Mars,False,TRAPPIST-1e,31.0,0.0,334.0,0.0,97.0,0.0,0.0,Pyrohs Harte,0.0,0141,01,F,30,P
133,Earth,False,TRAPPIST-1e,20.0,0.0,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,1.0,0144,01,F,31,S
134,Earth,False,TRAPPIST-1e,56.0,0.0,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,0.0,0146,01,G,25,S
135,Earth,True,TRAPPIST-1e,50.0,0.0,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,1.0,0147,01,G,26,S
136,Mars,False,TRAPPIST-1e,42.0,0.0,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,0.0,0148,01,F,31,P
137,Earth,True,55 Cancri e,25.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,1.0,0149,01,G,27,S
138,Earth,True,55 Cancri e,38.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanie Simson,0.0,0151,01,G,20,P
139,Earth,False,,41.0,0.0,0.0,0.0,0.0,0.0,607.0,Andan Estron,0.0,0152,01,F,32,P
140,Earth,False,TRAPPIST-1e,22.0,0.0,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,0.0,0160,01,G,22,P
141,Europa,True,TRAPPIST-1e,26.0,0.0,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,1.0,0163,01,B,8,P
142,Europa,True,TRAPPIST-1e,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,1.0,0163,02,B,8,P
143,Earth,False,TRAPPIST-1e,57.0,0.0,50.0,1688.0,0.0,375.0,135.0,Fany Hutchinton,1.0,0164,01,G,28,S
144,Earth,True,PSO J318.5-22,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,0.0,0164,02,G,28,S
145,Mars,True,TRAPPIST-1e,35.0,0.0,0.0,0.0,0.0,0.0,0.0,Graven Anche,1.0,0165,01,F,37,P
146,Mars,True,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Miten Floaf,1.0,0167,01,F,35,S
147,Mars,False,TRAPPIST-1e,27.0,0.0,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,0.0,0167,02,F,35,S
148,Earth,True,TRAPPIST-1e,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,0.0,0169,01,G,23,P
149,Earth,False,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,0.0,0170,01,E,10,S
150,Earth,True,PSO J318.5-22,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,1.0,0171,01,G,30,S
151,Earth,True,TRAPPIST-1e,32.0,0.0,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,1.0,0172,01,G,24,P
152,Earth,,TRAPPIST-1e,58.0,0.0,0.0,985.0,0.0,5.0,0.0,Hilip Grifford,1.0,0173,01,E,11,S
153,Earth,False,55 Cancri e,21.0,0.0,287.0,0.0,16.0,115.0,175.0,Doryn Lambles,0.0,0174,01,F,38,P
154,Europa,False,TRAPPIST-1e,38.0,0.0,0.0,10346.0,1.0,14970.0,2111.0,Toperon Iniouser,0.0,0177,01,B,2,S
155,Mars,False,TRAPPIST-1e,38.0,0.0,3414.0,0.0,161.0,28.0,119.0,Wees Knik,0.0,0178,01,D,6,S
156,Earth,False,TRAPPIST-1e,19.0,0.0,1.0,219.0,673.0,2.0,11.0,Elaney Webstephrey,1.0,0179,01,G,26,P
157,Earth,False,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Raque Webstephrey,0.0,0179,02,G,26,P
158,Earth,False,TRAPPIST-1e,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Sallyl Webstephrey,1.0,0179,03,G,26,P
159,Earth,False,TRAPPIST-1e,20.0,0.0,0.0,0.0,3.0,299.0,92.0,Nancis Brighttt,0.0,0181,01,G,27,P
160,Europa,True,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,0.0,0.0,Ksorab Disight,1.0,0182,01,C,3,P
161,Earth,False,TRAPPIST-1e,37.0,0.0,17.0,146.0,426.0,0.0,232.0,Stany Weaves,1.0,0183,01,F,36,S
162,Earth,False,TRAPPIST-1e,25.0,0.0,62.0,0.0,0.0,0.0,956.0,Camiet Shephendry,0.0,0186,01,G,28,P
163,Earth,True,TRAPPIST-1e,56.0,0.0,0.0,0.0,0.0,0.0,0.0,Branda Romez,1.0,0188,01,G,31,S
164,Earth,False,55 Cancri e,49.0,0.0,84.0,3.0,401.0,202.0,98.0,Helly Booters,0.0,0189,01,E,8,P
165,Earth,True,55 Cancri e,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0190,01,G,32,S
166,Earth,True,TRAPPIST-1e,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Tance Adavisons,1.0,0192,01,G,29,P
167,Earth,False,TRAPPIST-1e,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Robyny Adavisons,0.0,0192,02,G,29,P
168,Earth,False,TRAPPIST-1e,39.0,0.0,0.0,0.0,10.0,898.0,0.0,Lilace Adavisons,0.0,0192,03,G,29,P
169,Mars,True,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Sps Raf,1.0,0193,01,F,41,P
170,Mars,False,TRAPPIST-1e,23.0,0.0,240.0,0.0,8.0,1072.0,0.0,Frook Raf,0.0,0193,02,F,41,P
171,Mars,False,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goles Raf,1.0,0193,03,F,41,P
172,Mars,False,TRAPPIST-1e,39.0,0.0,406.0,0.0,867.0,0.0,0.0,Bar Floaf,1.0,0195,01,F,42,P
173,Mars,False,PSO J318.5-22,25.0,0.0,1052.0,0.0,719.0,0.0,7.0,Caper Emead,0.0,0196,01,D,5,P
174,Europa,False,TRAPPIST-1e,36.0,0.0,0.0,972.0,0.0,795.0,575.0,Astrak Dissper,0.0,0197,01,C,5,P
175,Earth,,PSO J318.5-22,52.0,0.0,0.0,0.0,0.0,0.0,0.0,Jeroy Cookson,1.0,0198,01,G,30,P
176,Earth,True,TRAPPIST-1e,18.0,0.0,0.0,0.0,0.0,0.0,0.0,Regana Morrows,0.0,0199,01,G,33,S
177,Earth,True,TRAPPIST-1e,15.0,0.0,0.0,0.0,0.0,0.0,0.0,Elia Colomonson,1.0,0200,01,G,31,P
178,Europa,True,TRAPPIST-1e,35.0,0.0,0.0,0.0,0.0,0.0,0.0,Kaffias Bacistion,1.0,0201,01,B,3,S
179,Europa,True,TRAPPIST-1e,47.0,0.0,0.0,0.0,0.0,0.0,0.0,Edaruma Bacistion,1.0,0201,02,B,3,S
180,Europa,True,55 Cancri e,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Pomera Embleng,1.0,0202,01,B,9,P
181,Europa,False,55 Cancri e,25.333333333333332,0.0,0.0,2433.0,4.666666666666667,878.0,443.0,Vegas Embleng,1.0,0202,02,A,2,P
182,Europa,True,TRAPPIST-1e,51.0,0.0,0.0,0.0,0.0,0.0,0.0,Ancham Heateele,1.0,0203,01,C,8,S
183,Earth,False,TRAPPIST-1e,29.0,0.0,0.0,2.0,66.0,0.0,705.0,Carma Oneiles,0.0,0205,01,G,34,S
184,Europa,False,55 Cancri e,31.666666666666668,0.0,2.0,1720.0,12.0,1125.0,122.0,Nuson Brugashed,1.0,0206,01,C,9,S
185,Earth,True,PSO J318.5-22,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Thony Mcfaddennon,0.0,0207,01,G,32,P
186,,True,55 Cancri e,24.0,0.0,0.0,0.0,0.0,0.0,0.0,Arraid Inicont,1.0,0210,01,D,6,P
187,Mars,False,TRAPPIST-1e,29.0,0.0,902.0,1.0,137.0,0.0,0.0,Pebuts Appie,1.0,0211,01,F,44,P
188,Mars,True,TRAPPIST-1e,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Corsh Appie,1.0,0211,02,F,44,P
189,Mars,False,TRAPPIST-1e,17.0,0.0,848.0,0.0,307.0,182.0,0.0,Picers Date,0.0,0211,03,F,44,P
190,Earth,False,TRAPPIST-1e,13.0,0.0,192.0,0.0,0.0,51.0,739.0,Inen Workmans,0.0,0212,01,E,9,P
191,Earth,False,TRAPPIST-1e,35.0,0.0,147.0,188.0,0.0,10.0,387.0,Shally Workmans,0.0,0212,02,F,45,P
192,Earth,False,TRAPPIST-1e,21.0,0.0,367.0,281.0,0.0,0.0,146.0,Carita Navages,0.0,0213,01,F,46,P
193,Earth,False,55 Cancri e,21.0,0.0,0.0,56.0,0.0,0.0,1918.0,Searla Garnes,0.0,0216,01,F,40,S
194,Earth,False,TRAPPIST-1e,38.0,0.0,1517.0,0.0,0.0,27.0,0.0,Prilly Shieldson,0.0,0217,01,F,47,P
