,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Deck,Side,Group_ID
21,Earth,1.0,TRAPPIST-1e,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,0,E,S,01
22,Earth,1.0,55 Cancri e,49.0,0.0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,0,E,S,02
23,Earth,1.0,55 Cancri e,29.0,0.0,0.0,0.0,,0.0,0.0,Mollen Mcfaddennon,0,E,S,03
24,Earth,0.0,TRAPPIST-1e,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,1,E,S,04
25,Earth,1.0,PSO J318.5-22,1.0,0.0,,0.0,0.0,0.0,0.0,Mael Brantuarez,0,E,S,05
26,Earth,0.0,TRAPPIST-1e,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,0,E,S,06
27,Mars,0.0,TRAPPIST-1e,21.0,0.0,980.0,2.0,69.0,0.0,0.0,,0,D,P,01
28,Europa,1.0,TRAPPIST-1e,62.0,0.0,0.0,0.0,,0.0,0.0,Penton Fullided,1,C,S,01
29,Earth,0.0,TRAPPIST-1e,15.0,0.0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,0,F,S,01
30,Europa,0.0,55 Cancri e,34.0,0.0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,0,C,P,01
31,Mars,0.0,TRAPPIST-1e,43.0,0.0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,0,F,P,01
32,Earth,0.0,TRAPPIST-1e,32.0,0.0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,0,G,S,01
33,Mars,0.0,TRAPPIST-1e,47.0,0.0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,1,F,P,01
34,Mars,0.0,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,1,F,P,02
35,Mars,0.0,TRAPPIST-1e,20.0,0.0,,0.0,1750.0,990.0,0.0,Dontch Datie,1,F,P,03
36,Europa,1.0,55 Cancri e,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,1,D,S,01
37,Mars,0.0,55 Cancri e,23.0,0.0,784.0,964.0,0.0,951.0,0.0,Luse Butte,0,D,P,01
38,Earth,0.0,55 Cancri e,15.0,,0.0,492.0,48.0,20.0,401.0,Marina Leodger,0,F,S,01
39,Earth,0.0,55 Cancri e,20.0,0.0,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,0,F,S,01
40,Earth,1.0,55 Cancri e,30.0,0.0,0.0,0.0,,0.0,0.0,Jorgie Batthewitt,0,G,P,01
41,Earth,1.0,TRAPPIST-1e,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,1,G,P,01
42,Europa,0.0,TRAPPIST-1e,45.0,0.0,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,0,B,P,01
43,Earth,1.0,TRAPPIST-1e,55.0,0.0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,0,G,P,01
44,Earth,1.0,55 Cancri e,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,1,G,P,02
45,Earth,1.0,PSO J318.5-22,21.0,0.0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,1,G,P,03
46,Mars,0.0,TRAPPIST-1e,21.0,0.0,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,0,F,P,01
47,Mars,1.0,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,1,F,P,02
48,Earth,0.0,55 Cancri e,35.0,0.0,790.0,0.0,0.0,,0.0,Sony Lancis,0,E,S,01
49,Earth,0.0,TRAPPIST-1e,56.0,0.0,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,0,E,S,01
50,Earth,0.0,TRAPPIST-1e,,0.0,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,0,G,S,01
51,Earth,0.0,TRAPPIST-1e,25.0,0.0,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,1,F,S,01
52,Europa,0.0,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,1,A,S,01
53,Europa,1.0,TRAPPIST-1e,38.0,0.0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,1,A,S,02
54,Europa,0.0,TRAPPIST-1e,27.0,0.0,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,1,A,S,03
55,Earth,1.0,PSO J318.5-22,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,0,G,S,01
56,Earth,0.0,TRAPPIST-1e,22.0,0.0,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,0,F,S,01
57,Earth,0.0,TRAPPIST-1e,62.0,0.0,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,0,F,S,01
58,Mars,1.0,TRAPPIST-1e,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,F,S,01
59,,1.0,TRAPPIST-1e,33.0,0.0,0.0,0.0,,0.0,0.0,Colatz Keen,1,E,S,02
60,Earth,0.0,TRAPPIST-1e,62.0,0.0,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,0,G,P,01
61,Earth,1.0,PSO J318.5-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,1,G,S,01
62,Earth,0.0,TRAPPIST-1e,18.0,0.0,1.0,258.0,446.0,0.0,0.0,Celine Leeves,1,G,S,02
63,Earth,0.0,55 Cancri e,21.0,0.0,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,0,F,S,03
64,Mars,0.0,TRAPPIST-1e,,0.0,793.0,0.0,2.0,253.0,0.0,Cinst Binie,0,E,S,01
65,Earth,0.0,TRAPPIST-1e,42.0,0.0,887.0,0.0,9.0,6.0,0.0,,1,F,S,01
66,Earth,0.0,TRAPPIST-1e,19.0,0.0,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,0,F,P,01
67,Earth,0.0,TRAPPIST-1e,17.0,0.0,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,0,F,P,01
68,Earth,0.0,TRAPPIST-1e,14.0,0.0,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,0,F,S,01
69,Mars,0.0,PSO J318.5-22,37.0,0.0,46.0,83.0,738.0,0.0,12.0,Gorn Make,0,D,P,01
70,Europa,0.0,TRAPPIST-1e,42.0,0.0,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,1,C,S,01
71,Mars,0.0,TRAPPIST-1e,27.0,0.0,147.0,0.0,1018.0,0.0,0.0,Conk Dal,1,F,S,01
72,Mars,0.0,TRAPPIST-1e,28.0,0.0,14.0,0.0,1295.0,0.0,0.0,Pon Blité,1,F,P,01
73,Europa,0.0,TRAPPIST-1e,38.0,0.0,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,0,C,S,01
74,Earth,1.0,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,0,G,S,01
75,Mars,0.0,TRAPPIST-1e,42.0,0.0,7406.0,0.0,0.0,0.0,0.0,Totse Datte,0,F,P,01
76,Mars,1.0,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,1,F,P,02
77,Mars,0.0,TRAPPIST-1e,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,F,P,03
78,Earth,0.0,TRAPPIST-1e,24.0,0.0,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,1,G,S,01
79,Europa,1.0,TRAPPIST-1e,40.0,0.0,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,1,C,S,01
80,Earth,0.0,TRAPPIST-1e,43.0,0.0,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,0,F,P,01
81,Mars,1.0,PSO J318.5-22,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,1,E,S,01
82,Earth,1.0,TRAPPIST-1e,35.0,0.0,0.0,0.0,0.0,0.0,0.0,Heremy Santry,1,G,S,01
83,Earth,1.0,TRAPPIST-1e,26.0,0.0,,0.0,0.0,0.0,0.0,Deanne Yorkland,1,G,S,01
84,Earth,0.0,TRAPPIST-1e,27.0,0.0,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,0,F,S,02
85,Earth,0.0,TRAPPIST-1e,19.0,0.0,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,0,G,P,01
86,Earth,1.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,,0.0,0.0,Stald Hewson,1,G,P,02
87,Earth,1.0,TRAPPIST-1e,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,1,G,P,03
88,Europa,0.0,TRAPPIST-1e,54.0,0.0,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,0,A,S,01
89,Earth,0.0,TRAPPIST-1e,26.0,0.0,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,0,G,P,01
90,Earth,0.0,TRAPPIST-1e,26.0,0.0,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,1,G,P,02
91,Earth,0.0,PSO J318.5-22,23.0,0.0,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,0,F,P,01
92,Earth,,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,1,G,P,02
93,Mars,1.0,TRAPPIST-1e,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Book Trad,1,,,01
94,Earth,0.0,TRAPPIST-1e,18.0,0.0,0.0,0.0,0.0,830.0,91.0,Ritany Holson,0,F,S,01
95,Earth,0.0,TRAPPIST-1e,24.0,0.0,0.0,,0.0,0.0,17.0,Arlen Mclainez,1,F,S,01
96,Earth,1.0,55 Cancri e,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,1,G,S,02
97,Earth,1.0,TRAPPIST-1e,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,0,G,S,03
98,Earth,,TRAPPIST-1e,27.0,0.0,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,0,F,P,01
99,Mars,0.0,TRAPPIST-1e,21.0,0.0,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,0,D,S,01
100,Earth,1.0,TRAPPIST-1e,23.0,0.0,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,0,G,S,01
101,Earth,0.0,TRAPPIST-1e,31.0,0.0,562.0,0.0,326.0,0.0,0.0,,0,G,S,02
102,Earth,0.0,TRAPPIST-1e,0.0,,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,1,G,S,03
103,Europa,0.0,TRAPPIST-1e,32.0,0.0,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,0,,,01
104,Europa,,TRAPPIST-1e,40.0,0.0,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,0,B,P,02
105,Europa,0.0,TRAPPIST-1e,42.0,0.0,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,1,B,P,03
106,Europa,1.0,TRAPPIST-1e,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,1,B,P,04
107,Europa,1.0,TRAPPIST-1e,29.0,0.0,0.0,0.0,0.0,0.0,0.0,Aldera Supred,1,E,S,01
108,Europa,0.0,55 Cancri e,48.0,1.0,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,1,B,S,01
109,Earth,0.0,TRAPPIST-1e,64.0,0.0,0.0,0.0,804.0,0.0,0.0,Idary Carvis,1,F,P,01
110,Earth,0.0,TRAPPIST-1e,27.0,0.0,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,0,G,S,01
111,Mars,,TRAPPIST-1e,26.0,0.0,0.0,0.0,0.0,0.0,,Rohs Pead,1,F,P,01
112,Europa,0.0,TRAPPIST-1e,33.0,0.0,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,1,D,P,01
113,,0.0,TRAPPIST-1e,39.0,0.0,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,0,A,P,01
114,Europa,1.0,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,1,A,P,02
115,Mars,1.0,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,0.0,,Bees Sacre,1,F,P,01
116,Earth,0.0,TRAPPIST-1e,29.0,0.0,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,0,G,S,01
117,Earth,0.0,TRAPPIST-1e,18.0,0.0,55.0,597.0,49.0,0.0,1.0,Iree Fielson,0,F,P,01
118,Mars,1.0,TRAPPIST-1e,67.0,0.0,0.0,0.0,0.0,0.0,0.0,Milly Mish,1,F,S,01
119,Mars,0.0,TRAPPIST-1e,35.0,0.0,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,0,E,S,01
120,Mars,0.0,TRAPPIST-1e,61.0,1.0,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,0,D,S,01
121,Mars,0.0,TRAPPIST-1e,45.0,0.0,2103.0,6.0,0.0,0.0,0.0,Barave Fles,0,E,S,02
122,Earth,1.0,PSO J318.5-22,22.0,0.0,0.0,0.0,,0.0,0.0,Race Fowles,1,G,S,01
123,Mars,1.0,TRAPPIST-1e,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Flynx Blie,1,F,S,01
124,Mars,0.0,TRAPPIST-1e,36.0,0.0,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,0,D,S,02
125,Earth,0.0,TRAPPIST-1e,19.0,0.0,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,1,G,P,01
126,Earth,0.0,PSO J318.5-22,47.0,0.0,97.0,418.0,126.0,25.0,55.0,,0,G,S,01
127,Earth,1.0,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,1,G,P,01
128,Earth,0.0,,34.0,0.0,0.0,22.0,0.0,564.0,207.0,Monah Gambs,0,E,P,02
129,Europa,1.0,55 Cancri e,35.0,0.0,0.0,0.0,0.0,0.0,0.0,Charda Myling,1,C,S,01
130,Earth,1.0,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,1,G,P,01
131,Earth,0.0,TRAPPIST-1e,26.0,0.0,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,0,F,P,02
132,Mars,0.0,TRAPPIST-1e,31.0,0.0,,0.0,97.0,0.0,0.0,Pyrohs Harte,0,F,P,01
133,Earth,0.0,TRAPPIST-1e,20.0,0.0,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,1,F,S,01
134,Earth,0.0,TRAPPIST-1e,56.0,0.0,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,0,G,S,01
135,Earth,1.0,TRAPPIST-1e,50.0,0.0,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,1,G,S,01
136,Mars,0.0,TRAPPIST-1e,42.0,0.0,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,0,F,P,01
137,Earth,1.0,55 Cancri e,,0.0,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,1,G,S,01
138,Earth,1.0,55 Cancri e,38.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanie Simson,0,G,P,01
139,Earth,0.0,,41.0,0.0,0.0,0.0,0.0,0.0,607.0,Andan Estron,0,F,P,01
140,Earth,0.0,TRAPPIST-1e,22.0,0.0,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,0,G,P,01
141,Europa,1.0,TRAPPIST-1e,26.0,0.0,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,1,B,P,01
142,Europa,1.0,TRAPPIST-1e,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,1,B,P,02
143,Earth,0.0,TRAPPIST-1e,57.0,0.0,50.0,1688.0,0.0,,135.0,Fany Hutchinton,1,G,S,01
144,Earth,1.0,PSO J318.5-22,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,0,G,S,02
145,Mars,1.0,TRAPPIST-1e,35.0,,0.0,0.0,0.0,0.0,0.0,Graven Anche,1,F,P,01
146,Mars,1.0,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Miten Floaf,1,F,S,01
147,Mars,0.0,TRAPPIST-1e,27.0,0.0,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,0,F,S,02
148,Earth,1.0,TRAPPIST-1e,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,0,G,P,01
149,Earth,0.0,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,0,E,S,01
150,Earth,1.0,PSO J318.5-22,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,1,G,S,01
151,Earth,1.0,TRAPPIST-1e,32.0,0.0,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,1,G,P,01
152,Earth,,TRAPPIST-1e,58.0,0.0,0.0,985.0,0.0,5.0,0.0,Hilip Grifford,1,E,S,01
153,Earth,0.0,55 Cancri e,21.0,0.0,287.0,0.0,16.0,115.0,175.0,Doryn Lambles,0,F,P,01
154,Europa,0.0,TRAPPIST-1e,38.0,0.0,0.0,10346.0,1.0,14970.0,2111.0,Toperon Iniouser,0,B,S,01
155,Mars,0.0,TRAPPIST-1e,38.0,0.0,3414.0,0.0,161.0,28.0,119.0,Wees Knik,0,D,S,01
156,Earth,0.0,TRAPPIST-1e,19.0,0.0,1.0,219.0,673.0,2.0,11.0,Elaney Webstephrey,1,G,P,01
157,Earth,0.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Raque Webstephrey,0,G,P,02
158,Earth,0.0,TRAPPIST-1e,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Sallyl Webstephrey,1,G,P,03
159,Earth,0.0,TRAPPIST-1e,20.0,0.0,0.0,0.0,3.0,299.0,92.0,Nancis Brighttt,0,G,P,01
160,Europa,1.0,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,0.0,0.0,Ksorab Disight,1,C,P,01
161,Earth,0.0,TRAPPIST-1e,37.0,0.0,17.0,146.0,426.0,0.0,232.0,Stany Weaves,1,F,S,01
162,Earth,0.0,TRAPPIST-1e,25.0,0.0,62.0,0.0,0.0,0.0,956.0,Camiet Shephendry,0,G,P,01
163,Earth,1.0,TRAPPIST-1e,56.0,0.0,0.0,0.0,0.0,0.0,0.0,Branda Romez,1,G,S,01
164,Earth,0.0,55 Cancri e,49.0,0.0,84.0,3.0,401.0,202.0,98.0,Helly Booters,0,E,P,01
165,Earth,1.0,55 Cancri e,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,G,S,01
166,Earth,1.0,TRAPPIST-1e,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Tance Adavisons,1,G,P,01
167,Earth,0.0,TRAPPIST-1e,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Robyny Adavisons,0,G,P,02
168,Earth,0.0,TRAPPIST-1e,39.0,0.0,0.0,0.0,10.0,898.0,0.0,Lilace Adavisons,0,G,P,03
169,Mars,1.0,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Sps Raf,1,F,P,01
170,Mars,0.0,TRAPPIST-1e,23.0,0.0,,0.0,8.0,1072.0,0.0,Frook Raf,0,F,P,02
171,Mars,0.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goles Raf,1,F,P,03
172,Mars,0.0,TRAPPIST-1e,39.0,0.0,406.0,0.0,867.0,0.0,0.0,Bar Floaf,1,F,P,01
173,Mars,0.0,PSO J318.5-22,25.0,0.0,1052.0,0.0,719.0,0.0,7.0,Caper Emead,0,D,P,01
174,Europa,0.0,TRAPPIST-1e,36.0,0.0,0.0,972.0,0.0,795.0,575.0,Astrak Dissper,0,C,P,01
175,Earth,,PSO J318.5-22,52.0,0.0,0.0,0.0,0.0,0.0,0.0,Jeroy Cookson,1,G,P,01
176,Earth,1.0,TRAPPIST-1e,18.0,0.0,0.0,0.0,0.0,0.0,0.0,Regana Morrows,0,G,S,01
177,Earth,1.0,TRAPPIST-1e,15.0,0.0,0.0,0.0,0.0,0.0,0.0,Elia Colomonson,1,G,P,01
178,Europa,1.0,TRAPPIST-1e,35.0,0.0,0.0,0.0,0.0,0.0,0.0,Kaffias Bacistion,1,B,S,01
179,Europa,1.0,TRAPPIST-1e,47.0,0.0,0.0,0.0,0.0,0.0,0.0,Edaruma Bacistion,1,B,S,02
180,Europa,1.0,55 Cancri e,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Pomera Embleng,1,B,P,01
181,Europa,0.0,55 Cancri e,,0.0,0.0,2433.0,,878.0,443.0,Vegas Embleng,1,A,P,02
182,Europa,1.0,TRAPPIST-1e,51.0,0.0,0.0,0.0,0.0,0.0,0.0,Ancham Heateele,1,C,S,01
183,Earth,0.0,TRAPPIST-1e,29.0,0.0,0.0,2.0,66.0,0.0,705.0,Carma Oneiles,0,G,S,01
184,Europa,0.0,55 Cancri e,,0.0,2.0,1720.0,12.0,1125.0,122.0,Nuson Brugashed,1,C,S,01
185,Earth,1.0,PSO J318.5-22,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Thony Mcfaddennon,0,G,P,01
186,,1.0,55 Cancri e,24.0,0.0,0.0,0.0,,0.0,0.0,Arraid Inicont,1,D,P,01
187,Mars,0.0,TRAPPIST-1e,29.0,0.0,902.0,1.0,137.0,0.0,0.0,Pebuts Appie,1,F,P,01
188,Mars,1.0,TRAPPIST-1e,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Corsh Appie,1,F,P,02
189,Mars,0.0,TRAPPIST-1e,17.0,0.0,848.0,0.0,307.0,182.0,0.0,Picers Date,0,F,P,03
190,Earth,0.0,TRAPPIST-1e,13.0,0.0,192.0,0.0,0.0,51.0,739.0,Inen Workmans,0,E,P,01
191,Earth,0.0,TRAPPIST-1e,35.0,0.0,147.0,188.0,0.0,10.0,387.0,Shally Workmans,0,F,P,02
192,Earth,0.0,TRAPPIST-1e,21.0,0.0,367.0,281.0,0.0,0.0,146.0,Carita Navages,0,F,P,01
193,Earth,0.0,55 Cancri e,21.0,0.0,0.0,56.0,0.0,0.0,1918.0,Searla Garnes,0,F,S,01
194,Earth,0.0,TRAPPIST-1e,38.0,0.0,1517.0,0.0,0.0,27.0,0.0,Prilly Shieldson,0,F,P,01
195,Earth,1.0,TRAPPIST-1e,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Nica River,1,G,P,01
196,Earth,1.0,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Tyle Wilsoney,1,G,P,01
197,Earth,0.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wena Wilsoney,1,G,P,02
198,Earth,1.0,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Branca Wilsoney,0,G,P,03
199,Earth,0.0,TRAPPIST-1e,25.0,0.0,122.0,84.0,,0.0,0.0,Dont Wilsoney,0,E,P,04
200,Earth,0.0,TRAPPIST-1e,16.0,0.0,0.0,3.0,0.0,0.0,1099.0,Velyne Wilsoney,0,F,P,05
201,Earth,0.0,55 Cancri e,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Weney Wilsoney,0,G,P,06
202,Earth,1.0,TRAPPIST-1e,15.0,0.0,0.0,0.0,0.0,0.0,0.0,Guye Wilsoney,1,G,P,07
203,Mars,0.0,55 Cancri e,21.0,0.0,2237.0,0.0,119.0,0.0,0.0,Cowhex Blan,0,E,S,01
204,Mars,0.0,TRAPPIST-1e,23.0,0.0,1215.0,80.0,1.0,2.0,0.0,Yogark Reke,0,E,S,02
205,Mars,0.0,TRAPPIST-1e,33.0,0.0,1933.0,12.0,188.0,1.0,0.0,Jacks Reke,0,E,S,03
206,Mars,1.0,TRAPPIST-1e,21.0,0.0,0.0,0.0,0.0,0.0,0.0,Eerch Reke,1,E,S,04
207,Mars,0.0,TRAPPIST-1e,41.0,0.0,1230.0,0.0,301.0,43.0,1023.0,Panbug Reke,0,E,S,05
208,Mars,0.0,TRAPPIST-1e,16.0,0.0,915.0,0.0,221.0,234.0,0.0,Gran Reke,0,E,S,06
209,Mars,1.0,TRAPPIST-1e,42.0,0.0,0.0,0.0,0.0,0.0,0.0,Rohs Reke,0,E,S,07
210,Mars,0.0,TRAPPIST-1e,20.0,0.0,1406.0,0.0,0.0,11.0,0.0,Gone Perte,0,F,S,01
211,Mars,1.0,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,0.0,0.0,Colf Deva,1,F,S,02
212,Mars,1.0,TRAPPIST-1e,16.0,0.0,0.0,0.0,0.0,0.0,0.0,Grake Perte,1,E,S,03
